date,n1,n2,n3,n4,n5,n6,n7
2021-12-28,11122127324349,122127324349,2127324349,27324349,324349,4349,49
2021-12-31,7253035384049,253035384049,3035384049,35384049,384049,4049,49
2022-01-04,781320252648,81320252648,1320252648,20252648,252648,2648,48
2022-01-07,453139424550,53139424550,3139424550,39424550,424550,4550,50
2022-01-11,132425273647,32425273647,2425273647,25273647,273647,3647,47
2022-01-14,24710142134,4710142134,710142134,10142134,142134,2134,34
2022-01-18,2152528303538,152528303538,2528303538,28303538,303538,3538,38
2022-01-21,10142126283650,142126283650,2126283650,26283650,283650,3650,50
2022-01-25,11131820233040,131820233040,1820233040,20233040,233040,3040,40
2022-01-28,37810344347,7810344347,810344347,10344347,344347,4347,47
2022-02-01,9142426293949,142426293949,2426293949,26293949,293949,3949,49
2022-02-04,5151922374647,151922374647,1922374647,22374647,374647,4647,47
2022-02-08,16293234383947,293234383947,3234383947,34383947,383947,3947,47
2022-02-11,1101230333436,101230333436,1230333436,30333436,333436,3436,36
2022-02-15,19262836404248,262836404248,2836404248,36404248,404248,4248,48
2022-02-18,23811123749,3811123749,811123749,11123749,123749,3749,49
2022-02-22,3132627283645,132627283645,2627283645,27283645,283645,3645,45
2022-02-25,241728354446,41728354446,1728354446,28354446,354446,4446,46
2022-03-01,562836404650,62836404650,2836404650,36404650,404650,4650,50
2022-03-04,241418244647,41418244647,1418244647,18244647,244647,4647,47
2022-03-08,10121318252637,121318252637,1318252637,18252637,252637,2637,37
2022-03-11,571222284347,71222284347,1222284347,22284347,284347,4347,47
2022-03-15,371217233840,71217233840,1217233840,17233840,233840,3840,40
2022-03-18,571218262946,71218262946,1218262946,18262946,262946,2946,46
2022-03-22,14162026333648,162026333648,2026333648,26333648,333648,3648,48
2022-03-25,371618273237,71618273237,1618273237,18273237,273237,3237,37
2022-03-29,7173234394547,173234394547,3234394547,34394547,394547,4547,47
2022-04-01,7101829384350,101829384350,1829384350,29384350,384350,4350,50
2022-04-05,14243439434850,243439434850,3439434850,39434850,434850,4850,50
2022-04-08,121415212629,21415212629,1415212629,15212629,212629,2629,29
2022-04-12,35719323450,5719323450,719323450,19323450,323450,3450,50
2022-04-15,161821303237,61821303237,1821303237,21303237,303237,3237,37
2022-04-19,161027424550,61027424550,1027424550,27424550,424550,4550,50
2022-04-22,13142330343642,142330343642,2330343642,30343642,343642,3642,42
2022-04-26,3101531353842,101531353842,1531353842,31353842,353842,3842,42
2022-04-29,891932374648,91932374648,1932374648,32374648,374648,4648,48
2022-05-03,6112224272933,112224272933,2224272933,24272933,272933,2933,33
2022-05-06,361118192841,61118192841,1118192841,18192841,192841,2841,41
2022-05-10,6151819202728,151819202728,1819202728,19202728,202728,2728,28
2022-05-13,2223738394247,223738394247,3738394247,38394247,394247,4247,47
2022-05-17,10353840454748,353840454748,3840454748,40454748,454748,4748,48
2022-05-20,562029424447,62029424447,2029424447,29424447,424447,4447,47
2022-05-24,12263031353945,263031353945,3031353945,31353945,353945,3945,45
2022-05-27,492122273134,92122273134,2122273134,22273134,273134,3134,34
2022-05-31,6132327354450,132327354450,2327354450,27354450,354450,4450,50
2022-06-03,2161721384345,161721384345,1721384345,21384345,384345,4345,45
2022-06-07,6131720283644,131720283644,1720283644,20283644,283644,3644,44
2022-06-10,8141617192224,141617192224,1617192224,17192224,192224,2224,24
2022-06-14,11171825364150,171825364150,1825364150,25364150,364150,4150,50
2022-06-17,1101221303940,101221303940,1221303940,21303940,303940,3940,40
2022-06-21,24522324050,4522324050,522324050,22324050,324050,4050,50
2022-06-24,391719204450,91719204450,1719204450,19204450,204450,4450,50
2022-06-28,8192241424647,192241424647,2241424647,41424647,424647,4647,47
2022-07-01,1111314253647,111314253647,1314253647,14253647,253647,3647,47
2022-07-05,12293335384146,293335384146,3335384146,35384146,384146,4146,46
2022-07-08,7121418464749,121418464749,1418464749,18464749,464749,4749,49
2022-07-12,8111516262940,111516262940,1516262940,16262940,262940,2940,40
2022-07-15,471218294749,71218294749,1218294749,18294749,294749,4749,49
2022-07-19,691719313446,91719313446,1719313446,19313446,313446,3446,46
2022-07-22,191934373949,91934373949,1934373949,34373949,373949,3949,49
2022-07-26,38915212731,8915212731,915212731,15212731,212731,2731,31
2022-07-29,7141718192341,141718192341,1718192341,18192341,192341,2341,41
2022-08-02,451518222832,51518222832,1518222832,18222832,222832,2832,32
2022-08-05,7161933364849,161933364849,1933364849,33364849,364849,4849,49
2022-08-09,16192526273345,192526273345,2526273345,26273345,273345,3345,45
2022-08-12,4102836404447,102836404447,2836404447,36404447,404447,4447,47
2022-08-16,12921323343,2921323343,921323343,21323343,323343,3343,43
2022-08-19,5202633354648,202633354648,2633354648,33354648,354648,4648,48
2022-08-23,9131419374350,131419374350,1419374350,19374350,374350,4350,50
2022-08-26,3112226294648,112226294648,2226294648,26294648,294648,4648,48
2022-08-30,581223394148,81223394148,1223394148,23394148,394148,4148,48
2022-09-02,8172131343739,172131343739,2131343739,31343739,343739,3739,39
2022-09-06,16222830414647,222830414647,2830414647,30414647,414647,4647,47
2022-09-09,121518293236,21518293236,1518293236,18293236,293236,3236,36
2022-09-13,9101432353646,101432353646,1432353646,32353646,353646,3646,46
2022-09-16,2132434394046,132434394046,2434394046,34394046,394046,4046,46
2022-09-20,9101120243148,101120243148,1120243148,20243148,243148,3148,48
2022-09-23,15172124283243,172124283243,2124283243,24283243,283243,3243,43
2022-09-27,10121326293946,121326293946,1326293946,26293946,293946,3946,46
2022-09-30,9143637384048,143637384048,3637384048,37384048,384048,4048,48
2022-10-04,10182122374046,182122374046,2122374046,22374046,374046,4046,46
2022-10-07,7232831323940,232831323940,2831323940,31323940,323940,3940,40
2022-10-11,3193336394042,193336394042,3336394042,36394042,394042,4042,42
2022-10-14,2242731404346,242731404346,2731404346,31404346,404346,4346,46
2022-10-18,12142325394044,142325394044,2325394044,25394044,394044,4044,44
2022-10-21,192535414350,92535414350,2535414350,35414350,414350,4350,50
2022-10-25,361923262843,61923262843,1923262843,23262843,262843,2843,43
2022-10-28,12172930384050,172930384050,2930384050,30384050,384050,4050,50
2022-11-01,2232734434649,232734434649,2734434649,34434649,434649,4649,49
2022-11-04,482527323334,82527323334,2527323334,27323334,323334,3334,34
2022-11-08,471418264042,71418264042,1418264042,18264042,264042,4042,42
2022-11-11,5233435464750,233435464750,3435464750,35464750,464750,4750,50
2022-11-15,9121322253547,121322253547,1322253547,22253547,253547,3547,47
2022-11-18,351117264249,51117264249,1117264249,17264249,264249,4249,49
2022-11-22,2101218192134,101218192134,1218192134,18192134,192134,2134,34
2022-11-25,36710253037,6710253037,710253037,10253037,253037,3037,37
2022-11-29,17819323839,7819323839,819323839,19323839,323839,3839,39
2022-12-02,491418243045,91418243045,1418243045,18243045,243045,3045,45
2022-12-06,12314171941,2314171941,314171941,14171941,171941,1941,41
2022-12-09,2182022344348,182022344348,2022344348,22344348,344348,4348,48
2022-12-13,12131431353950,131431353950,1431353950,31353950,353950,3950,50
2022-12-16,6222542434548,222542434548,2542434548,42434548,434548,4548,48
2022-12-20,38920223650,8920223650,920223650,20223650,223650,3650,50
2022-12-23,7172022313648,172022313648,2022313648,22313648,313648,3648,48
2022-12-27,561316313235,61316313235,1316313235,16313235,313235,3235,35
2022-12-30,6263237383946,263237383946,3237383946,37383946,383946,3946,46
2023-01-03,9253234374650,253234374650,3234374650,34374650,374650,4650,50
2023-01-06,7142024354050,142024354050,2024354050,24354050,354050,4050,50
2023-01-10,10161833343745,161833343745,1833343745,33343745,343745,3745,45
2023-01-13,3161723353747,161723353747,1723353747,23353747,353747,3747,47
2023-01-17,1256163045,256163045,56163045,6163045,163045,3045,45
2023-01-20,9161719303849,161719303849,1719303849,19303849,303849,3849,49
2023-01-24,10202529354245,202529354245,2529354245,29354245,354245,4245,45
2023-01-27,45913293035,5913293035,913293035,13293035,293035,3035,35
2023-01-31,261623404148,61623404148,1623404148,23404148,404148,4148,48
2023-02-03,7101517253945,101517253945,1517253945,17253945,253945,3945,45
2023-02-07,1132630374250,132630374250,2630374250,30374250,374250,4250,50
2023-02-10,6162223282934,162223282934,2223282934,23282934,282934,2934,34
2023-02-14,9152128313638,152128313638,2128313638,28313638,313638,3638,38
2023-02-17,10122326394145,122326394145,2326394145,26394145,394145,4145,45
2023-02-21,2142631353949,142631353949,2631353949,31353949,353949,3949,49
2023-02-24,1111521354849,111521354849,1521354849,21354849,354849,4849,49
2023-02-28,13824354243,3824354243,824354243,24354243,354243,4243,43
2023-03-03,10142037424446,142037424446,2037424446,37424446,424446,4446,46
2023-03-07,1162628314445,162628314445,2628314445,28314445,314445,4445,45
2023-03-10,18193136384143,193136384143,3136384143,36384143,384143,4143,43
2023-03-14,4151724273241,151724273241,1724273241,24273241,273241,3241,41
2023-03-17,5151722253746,151722253746,1722253746,22253746,253746,3746,46
2023-03-21,7151720324050,151720324050,1720324050,20324050,324050,4050,50
2023-03-24,591423323346,91423323346,1423323346,23323346,323346,3346,46
2023-03-28,591219212249,91219212249,1219212249,19212249,212249,2249,49
2023-03-31,132628364750,32628364750,2628364750,28364750,364750,4750,50
2023-04-04,6152932364548,152932364548,2932364548,32364548,364548,4548,48
2023-04-07,15263441444546,263441444546,3441444546,41444546,444546,4546,46
2023-04-11,451112314344,51112314344,1112314344,12314344,314344,4344,44
2023-04-14,17252830344649,252830344649,2830344649,30344649,344649,4649,49
2023-04-18,571620263036,71620263036,1620263036,20263036,263036,3036,36
2023-04-21,781826334246,81826334246,1826334246,26334246,334246,4246,46
2023-04-25,4192133373839,192133373839,2133373839,33373839,373839,3839,39
2023-04-28,121215353945,21215353945,1215353945,15353945,353945,3945,45
2023-05-02,2122230323536,122230323536,2230323536,30323536,323536,3536,36
2023-05-05,8162224253032,162224253032,2224253032,24253032,253032,3032,32
2023-05-09,18193133354050,193133354050,3133354050,33354050,354050,4050,50
2023-05-12,452026282948,52026282948,2026282948,26282948,282948,2948,48
2023-05-16,11131925284649,131925284649,1925284649,25284649,284649,4649,49
2023-05-19,12133541424447,133541424447,3541424447,41424447,424447,4447,47
2023-05-23,171018232434,71018232434,1018232434,18232434,232434,2434,34
2023-05-26,27912213037,7912213037,912213037,12213037,213037,3037,37
2023-05-30,13141819252938,141819252938,1819252938,19252938,252938,2938,38
2023-06-02,1121621294349,121621294349,1621294349,21294349,294349,4349,49
2023-06-06,471316313239,71316313239,1316313239,16313239,313239,3239,39
2023-06-09,7101231374244,101231374244,1231374244,31374244,374244,4244,44
2023-06-13,12812244445,2812244445,812244445,12244445,244445,4445,45
2023-06-16,11203034414749,203034414749,3034414749,34414749,414749,4749,49
2023-06-20,5102430324348,102430324348,2430324348,30324348,324348,4348,48
2023-06-23,8192129334046,192129334046,2129334046,29334046,334046,4046,46
2023-06-27,192531343538,92531343538,2531343538,31343538,343538,3538,38
2023-06-30,1131926354249,131926354249,1926354249,26354249,354249,4249,49
2023-07-04,292021233243,92021233243,2021233243,21233243,233243,3243,43
2023-07-07,12132832343540,132832343540,2832343540,32343540,343540,3540,40
2023-07-11,5162324314048,162324314048,2324314048,24314048,314048,4048,48
2023-07-14,3112327394448,112327394448,2327394448,27394448,394448,4448,48
2023-07-18,24515294049,4515294049,515294049,15294049,294049,4049,49
2023-07-21,481425284041,81425284041,1425284041,25284041,284041,4041,41
2023-07-25,15161718434448,161718434448,1718434448,18434448,434448,4448,48
2023-07-28,4172628294148,172628294148,2628294148,28294148,294148,4148,48
2023-08-01,2132628304346,132628304346,2628304346,28304346,304346,4346,46
2023-08-04,2111621324447,111621324447,1621324447,21324447,324447,4447,47
2023-08-08,7192234444649,192234444649,2234444649,34444649,444649,4649,49
2023-08-11,782328293137,82328293137,2328293137,28293137,293137,3137,37
2023-08-15,13152029314849,152029314849,2029314849,29314849,314849,4849,49
2023-08-18,172936404250,72936404250,2936404250,36404250,404250,4250,50
2023-08-22,271219384250,71219384250,1219384250,19384250,384250,4250,50
2023-08-25,7121718373845,121718373845,1718373845,18373845,373845,3845,45
2023-08-29,13171922262840,171922262840,1922262840,22262840,262840,2840,40
2023-09-01,171530363746,71530363746,1530363746,30363746,363746,3746,46
2023-09-05,8202326384547,202326384547,2326384547,26384547,384547,4547,47
2023-09-08,15222529303134,222529303134,2529303134,29303134,303134,3134,34
2023-09-12,67912133237,7912133237,912133237,12133237,133237,3237,37
2023-09-15,121127313544,21127313544,1127313544,27313544,313544,3544,44
2023-09-19,471320243048,71320243048,1320243048,20243048,243048,3048,48
2023-09-22,12131926333943,131926333943,1926333943,26333943,333943,3943,43
2023-09-26,371320222547,71320222547,1320222547,20222547,222547,2547,47
2023-09-29,2121926344446,121926344446,1926344446,26344446,344446,4446,46
2023-10-03,171015303447,71015303447,1015303447,15303447,303447,3447,47
2023-10-06,4172023252741,172023252741,2023252741,23252741,252741,2741,41
2023-10-10,561228334147,61228334147,1228334147,28334147,334147,4147,47
2023-10-13,8172023283133,172023283133,2023283133,23283133,283133,3133,33
2023-10-17,271516181925,71516181925,1516181925,16181925,181925,1925,25
2023-10-20,3181921254650,181921254650,1921254650,21254650,254650,4650,50
2023-10-24,4151617232747,151617232747,1617232747,17232747,232747,2747,47
2023-10-27,6172528303436,172528303436,2528303436,28303436,303436,3436,36
2023-10-31,22232526354044,232526354044,2526354044,26354044,354044,4044,44
2023-11-03,57910192440,7910192440,910192440,10192440,192440,2440,40
2023-11-07,461619293144,61619293144,1619293144,19293144,293144,3144,44
2023-11-10,7121516354548,121516354548,1516354548,16354548,354548,4548,48
2023-11-14,9141519454750,141519454750,1519454750,19454750,454750,4750,50
2023-11-17,2232830313337,232830313337,2830313337,30313337,313337,3337,37
2023-11-21,7133034373842,133034373842,3034373842,34373842,373842,3842,42
2023-11-24,2242528363746,242528363746,2528363746,28363746,363746,3746,46
2023-11-28,1182526303439,182526303439,2526303439,26303439,303439,3439,39
2023-12-01,4121522364446,121522364446,1522364446,22364446,364446,4446,46
2023-12-05,34810384347,4810384347,810384347,10384347,384347,4347,47
2023-12-08,891123253234,91123253234,1123253234,23253234,253234,3234,34
2023-12-12,262223283042,62223283042,2223283042,23283042,283042,3042,42
2023-12-15,121315202145,21315202145,1315202145,15202145,202145,2145,45
2023-12-19,23413213538,3413213538,413213538,13213538,213538,3538,38
2023-12-22,8161925303347,161925303347,1925303347,25303347,303347,3347,47
2023-12-26,1111317424549,111317424549,1317424549,17424549,424549,4549,49
2023-12-29,36925303642,6925303642,925303642,25303642,303642,3642,42
2024-01-02,9101629363750,101629363750,1629363750,29363750,363750,3750,50
2024-01-05,361124294550,61124294550,1124294550,24294550,294550,4550,50
2024-01-09,121220242628,21220242628,1220242628,20242628,242628,2628,28
2024-01-12,56718223436,6718223436,718223436,18223436,223436,3436,36
2024-01-16,291014424344,91014424344,1014424344,14424344,424344,4344,44
2024-01-19,11202728323650,202728323650,2728323650,28323650,323650,3650,50
2024-01-23,492531414849,92531414849,2531414849,31414849,414849,4849,49
2024-01-26,7112122242635,112122242635,2122242635,22242635,242635,2635,35
2024-01-30,161218262740,61218262740,1218262740,18262740,262740,2740,40
2024-02-02,791418223242,91418223242,1418223242,18223242,223242,3242,42
2024-02-06,10162129424450,162129424450,2129424450,29424450,424450,4450,50
2024-02-09,581632364142,81632364142,1632364142,32364142,364142,4142,42
2024-02-13,13161829353649,161829353649,1829353649,29353649,353649,3649,49
2024-02-16,4192934414446,192934414446,2934414446,34414446,414446,4446,46
2024-02-20,142324314048,42324314048,2324314048,24314048,314048,4048,48
2024-02-23,8162428404147,162428404147,2428404147,28404147,404147,4147,47
2024-02-27,14182225344046,182225344046,2225344046,25344046,344046,4046,46
2024-03-01,15172332384647,172332384647,2332384647,32384647,384647,4647,47
2024-03-05,24725334349,4725334349,725334349,25334349,334349,4349,49
2024-03-08,13619213347,3619213347,619213347,19213347,213347,3347,47
2024-03-12,3152021232434,152021232434,2021232434,21232434,232434,2434,34
2024-03-15,22243133394546,243133394546,3133394546,33394546,394546,4546,46
2024-03-19,3161921244046,161921244046,1921244046,21244046,244046,4046,46
2024-03-22,271928363744,71928363744,1928363744,28363744,363744,3744,44
2024-03-26,21242526314243,242526314243,2526314243,26314243,314243,4243,43
2024-03-29,1141719234248,141719234248,1719234248,19234248,234248,4248,48
